,Unnamed: 0,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,d,k,score
802,1387,{B26BA8F5-158D-4D38-9349-89526E7F80B0},2020-07-08,Saw it flying and stepped on it.,Unverified, ,2020-07-08,46.373731,-117.039721,1.0,0.0,0.0
832,1466,{59FC523E-AC83-4E86-9EEA-F3CFBCDBB895},2020-07-12,"Positively identified in Lewiston, ID.  It flew into our glass at our table (patio seating).  We could clearly see the yellow ""helmet"".  It was 1.5 - 2"" in length.  We didn't think fast enough to be able to trap it or take a picture.  We couldn't find a",Unverified,It sounds like you might have seen a Western cicada killer. Asian giant hornet are orange. Your area is negative for them. ,2020-07-12,46.41873,-117.01705,0.9969899159272456,0.0833333333333333,0.002841141035285155
887,1584,{1D85AB2A-548B-4F74-8AEA-E243FA84B9D9},2020-07-17,Captured at  Beachview Park Clarkston WA,Unverified,Hi. Your county is currently negative for Asian giant hornet.,2020-07-17,46.410328,-117.037617,0.9955789996661932,0.125,0.004054075181110008
20,4301,{C5D8E4C9-DBC4-469D-95DB-8E858B700ADD},2020-04-01,I killed about 20 of these . It was a hot dry spring . One almost killed my cat. He tried to eat it . Took my cat to the vet pulled a 1/4 inches long stinger out of his mouth.vet wanted to know what stung him he had never seen anything like it. I had alr,Unverified, ,2020-10-07,46.385863,-117.062473,0.995720673513589,0.0416666666666666,0.004157502368172967
1130,2030,{66D387C0-4302-4BB9-BC28-AC0487DDF2B7},2020-07-30,"It was 11/2"" . It was on the back of a 2"" long green grasshopper and flying it landed I looked around for something to swat it with it flew off with its prey.",Unverified, ,2020-07-30,46.385985,-117.070725,0.9947153714183689,0.0416666666666666,0.005134185464187934
982,1745,{BF749C86-AD6A-4E87-8F4F-B65582D034C0},2020-07-21,"I was in Clarkston wa both times.  One was around the car I was driving when I was parked.  The other was by a building.  I can,t remember witch building",Unverified,Your county is currently Negative for Asian giant hornet.,2020-07-21,46.411076,-117.051781,0.993781876615664,0.125,0.005702044284581651
442,652,{1CAC3D32-E4E4-4303-A6AE-C086CF3C9734},2020-05-10,"My daughter's just saw one at the Walmart in Clarkston, WA. They identified it by a picture online. My daughter said it was 'freaky big.' They didn't think of pictures because of it being mother's day and being in a hurry to get back. But, my daughters a",Unverified, ,2020-05-10,46.423105,-117.042043,0.9934247808907208,0.1666666666666666,0.00585785427594867
2054,4120,{7966D5F4-A825-4FE6-B8E2-193FA7408086},2020-09-23,"Was on our porch at night.  It was definitely all of 2"" long.  Sorry but it got smashed and thrown away.",Unverified, ,2020-09-25,46.382236,-117.098531,0.9918721907822724,0.0,0.0081278092177276
797,1400,{63C73D48-B0D9-4459-9A20-A2E979EF56ED},2020-07-08,"Was alive and flying, landed at our feet while out training with the fire department, attempted to get picture with cell phone but it flew off. Was approximately 1.5 to 2"" long, pale yellow with black strips. Two witness total. Searched the area for 15 m",Unverified, ,2020-07-08,46.426304,-117.055851,0.9913578953088488,0.0833333333333333,0.008157060625483608
1572,3035,{E3BD030D-5DBC-4EA0-8CC0-FD021D9DE742},2020-08-18,"I have a hornet in one of my traps that is about 2 to 3 times the size of the usual yellow jackets.  I have photos but can't attach.  If you send me an e-mail, I can send them to you.",Unverified, ,2020-08-18,46.40264,-117.09606,0.989547187094871,0.0416666666666666,0.010155241612235445
889,1598,{FC3D1F51-6496-4ED3-B4BA-ADDFB9C5DFA6},2020-07-17,Landed on my left forearm and walked around on my tattoos  size was app 1 and. Half inches. Orange with black,Unverified, ,2020-07-17,46.4122,-117.101474,0.9876743752765552,0.0416666666666666,0.011974738113499186
53,78,{DF8041A1-A4C4-40F5-898E-775A7A6E5DB5},2020-04-10,Flying past us near our house. Did not find a nest. We have many wild honeybee nests all around us. Last year found a huge pile of honeybees in our pasture dead and dying on the ground. I do have pictures but will have to search for them.,Unverified, ,2020-04-11,46.521513,-117.012612,0.9846817578425208,0.0,0.015318242157479234
372,550,{44F0EA0D-041F-4960-B83F-DAF84BD618A8},2020-05-07,"About 1” long, probably a yellow jacket but I want to be sure",Unverified, ,2020-05-07,46.753147,-116.985788,0.9603410264173208,0.0,0.039658973582679224
701,1169,{989B99F0-7A65-4754-9271-9EE89379675A},2020-06-24,"I work at the ski area in this location, myself and 2 other employees observed the hornet and agreed it was a match, we tried to capture it but we were unsuccessful.",Unverified, ,2020-06-25,46.08205,-117.851,0.947281802867634,0.0,0.05271819713236603
1948,3862,{C03CDE56-0AE5-4BF6-B8B4-B264D2BDE0CE},2020-09-10,It was flying at my car trying to land and then landed on a fence for a while- flew south of my location. Had the orange face and more than an inch long with a noticeable large stinger,Unverified, ,2020-09-10,46.719427,-117.163598,0.9421931887871944,0.0833333333333333,0.054562364201807316
44,64,{816D3E16-A9C7-4721-98E3-98244720AFCD},2020-04-09,It was very large and distinctive. I am allergic to bees so my first instinct was to get away not take a picture unfortunately. I have never seen such a large bee.,Unverified, ,2020-04-09,46.713962,-117.173186,0.941659485937415,0.0833333333333333,0.0550661126123191
316,381,{9C73F89C-C1BA-49AD-826C-F90169B4AB0B},2020-05-05,"Pullman High School, upper lot, slow flyby headed north, one hornet...",Unverified, ,2020-05-05,46.73015,-117.18147,0.9387115054689988,0.125,0.05620179728685544
2135,4306,{ACCC75B0-F979-46A2-9619-AF9725589B9E},2020-10-07,This large hornet showed up on our patio. It’s much larger than the wasps we usually see,Unverified, ,2020-10-07,46.740931,-117.16739,0.9391772825015332,0.0416666666666666,0.05909121279752284
1280,2375,{C72976BE-546B-42B0-AE95-982F33EF0424},2020-08-03,We were at Wawawai boat launch.  We were unable to get a picture.  Whole head was yellow and it was longer than an inch!,Unverified, ,2020-08-03,46.629061,-117.380677,0.9266634062274388,0.0,0.07333659377256119
253,404,{C15F2D6A-6020-4518-89D4-1A70A8A53C87},2020-05-04,Found what I believe to be is the Asian hornet dead in my laundry room on floor with ants coming from it. I put it inside an empty laundry detergent bottle.,Unverified, ,2020-05-05,46.03456,-118.38864,0.8976493785758091,0.0416666666666666,0.09943689791052206
219,186,{D4169A3E-ED15-461A-A2D8-5BA056784E69},2020-05-02,Extremely large looking bee so I thought,Unverified, ,2020-05-02,46.036705,-118.389327,0.8972418236723413,0.0416666666666666,0.09983285051701478
356,485,{CF07AE3B-93A7-4853-BC4A-2E71C7A7F79A},2020-05-06,Saw by house gutter. Flew up over roof. Yellow and black stripes and very large.,Unverified, ,2020-05-06,46.316855,-117.970204,0.8999413897234061,0.0,0.1000586102765939
1310,2512,{D9333E85-AB15-42D8-8415-677C45B1E48F},2020-08-05,"Very large bee with orange face buzzed our picnic at Steptoe Butte State Park. It moved away too quickly for a picture, sorry.",Unverified, ,2020-08-06,47.03239,-117.29713,0.8897796874636111,0.0,0.11022031253638886
268,403,{4CC02F75-AEDA-4103-9166-B2474BD21BFF},2020-05-04,was on the door to post office in waverly wa. did not fly away when door opened or shoo'd. Noted the size to the post master and the look of it,Unverified, ,2020-05-05,47.34349,-117.2278,0.8668770426263614,0.0,0.13312295737363855
484,687,{C07FC467-8CAD-4A95-B48E-16EAF04ABD55},2020-05-12,"Found three, only one of which appeared to be alive, inside one of our sprinkler system boxes.",Unverified, ,2020-05-12,47.675517,-117.095459,0.8555140237701545,0.0416666666666666,0.14037274095605554
632,1026,{C6845E62-9F88-42B0-90FD-489BCC92BCDE},2020-06-09,On m’y porch very big and scary I tried to get a picture and my phone was dead,Unverified, ,2020-06-12,47.66821,-117.10087,0.8553626462345809,0.0416666666666666,0.1405198090670384
644,1004,{0A710A19-9D54-48B5-9557-DA61DF50320C},2020-06-11,Asian giant hornet buzzing around backdoor of our house.,Unverified, ,2020-06-11,47.671173,-117.170536,0.845717180185845,0.125,0.14147796956659792
760,1494,{2DE6754A-FF9D-4377-A3F3-B9230154FD83},2020-07-04,It was circling our grill so it was hard to capture a picture.  It had a yellow and black striped abdomen and was approximately 1.5”.,Unverified, ,2020-07-13,46.583459,-118.013856,0.8577594572144981,0.0,0.1422405427855019
