,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,d,k
2,{13B67BCB-AFCE-4100-AD2B-76EF178BA228},2020-01-15,"Massive loss of bees, decapitated. No hornet specimens were located.",Unverified, ,2020-01-15,48.9392,-122.6613,0.035177969191504885,0.21951219512195122
389,{736F411B-A5D5-40E6-92BA-B9C6C033C886},2020-02-12,everywhere,Unverified, ,2020-05-05,47.072951,-122.97706,0.40094149728070977,0.024390243902439025
493,{A7CB6FEA-5428-4F09-B8B7-D4A9E9E1D4E9},2020-02-27,"Hello, just wanted to let you know that we have Asian Giant Hornets in King County. My coworker caught one in our work truck. We had it in a coffee cup for a couple of hours, but it got out. We are 100% positive that it was an Asian Giant Hornet. I am go",Unverified, ,2020-05-06,47.411352,-122.318568,0.34156526296600126,0.21951219512195122
7,{E6ADE6FB-0BD3-43EC-8E75-72EFC6F029FB},2020-03-01,Reported to Washington Invasive Species Council via voicemail,Unverified, ,2020-03-02,48.186024,-122.34468,0.18621441375748185,0.07317073170731707
448,{165FF3FF-8F72-4AB8-B736-4584CE8DA11F},2020-03-01,I was stung several times on my ankle.,Unverified, ,2020-05-05,47.53754,-122.639263,0.3062429739008902,0.07317073170731707
514,{B3BCF8B7-6B90-488B-AE00-4AC9B9CB3B45},2020-03-01,"I was bringing firewood up to the house and at our wood pile, where I think one must have been sleeping.  I didn't know what it was, but it was huge.  I smashed it before it woke up enough to fly.  So it looks like we have those beats here in Olympia as",Unverified, ,2020-05-06,47.091218,-122.864415,0.3973505909519035,0.04878048780487805
273,{C8E42ABD-5E6D-4F11-BB7F-434772B2730E},2020-03-11,"I never seen one before, but it landed on my car fender and I was going to take a picture to find out what it was. Glad I didn't touch it. It's a definite match from the pictures. They are in hoquiam wash for sure.",Unverified, ,2020-05-04,46.978763,-123.898467,0.4403351259380792,0.024390243902439025
11,{630D20B9-8DD9-41E0-84FE-7C4F87C412E6},2020-03-16,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,Unverified,"Hmm... This sounds like one of our native sawflies, which are large and can be active this time of year. Impossible to say without a picture.",2020-03-19,48.419995,-122.33213,0.14431987360617388,0.17073170731707318
1253,{530DA0E6-F039-4162-887A-3270D3BF1BF8},2020-03-17,"My daughter Isabella and myself had seen the Asian hornet,  Larger than he described it,  Oh is this like we didn’t seem to going fast!",Unverified, ,2020-07-01,47.181077,-122.117608,0.39619982985446484,0.07317073170731707
13,{72E591F1-F42C-4754-94FF-DBDF791BBF2E},2020-03-20,It wasn't huge but definitely  had a yellow head and yellow mid section,Unverified,Thanks for your submission. There are many insects that this could be besides the Asian giant hornet. Keep your fingers crossed that it isn't!,2020-03-21,48.93401,-122.48545,0.05857487922705315,0.1951219512195122
190,{AAD1CDC1-EB5B-4274-B789-F574D6D6CA3A},2020-03-21,"904 12th Street, Bellingham WA 98224. For 1 or 2 warm days, my husband and I saw a very large bee with yellow head among plants our back yard, and remarked that we had never see this type of bee before. We have not seen any since then",Unverified, ,2020-05-03,48.725174,-122.503141,0.07932465894935134,0.5365853658536586
536,{B4F0D79B-3B65-4D79-BCE4-12518656F815},2020-03-21,Flew at my home and hit my picture window.  I was stunned by the color and size.,Unverified, ,2020-05-07,48.833578,-122.543569,0.06035609029866618,0.12195121951219512
504,{A239F1BC-3BC5-4224-B5FF-1A30ABC67A78},2020-03-21,This was the second giant bee that somehow got in to my house. The first one was seen at the end of December but I didn't get a picture of that one. The one in December was bigger. Both of them I trapped in a cup and let them outside. If I see another on,Unverified, ,2020-05-06,47.639334,-122.200484,0.30061070093883874,0.24390243902439024
412,{CE5B5004-ECEE-4D98-8415-CB4305B3B79A},2020-03-21,I saw a giant hornet when I was cleaning one of my raised based in my garden.  I was removing old leaves from the bed getting cleaned and ready for planting.  I tried to take a photo but it flew away.  It was about 2 inches long.  I have not seen any oth,Unverified, ,2020-05-05,47.30134,-122.565146,0.35713471880411995,0.04878048780487805
477,{28F59E0F-FD65-433A-A42A-93700F528F5C},2020-03-23,I was checking to see if the hive of carpenter bees in a woodpile were active yet when I saw a huge orange bee near the entrance. I was not aware of the hornets presence or threat then. No activity this year at the carpenter bee hive.,Unverified, ,2020-05-06,47.240541,-122.321905,0.376433704007535,0.04878048780487805
270,{8BCB99D0-26F0-4F92-945A-26BDD746CE6A},2020-03-24,My mom saw a lot of rear insects like large size of bees especially in the morning flying low and avoid contact with humans.,Unverified, ,2020-05-04,46.292763,-119.145959,0.7813610883237627,0.0
26,{CBF357AE-C33D-48C4-A4E0-DFC79F7C11DC},2020-03-24,It stung me through a paper towel,Unverified,"Unlikely to he AGH. When one of these stings you, they are described more like being shot through a paper towel!",2020-04-06,48.077702,-123.170761,0.1907623887217817,0.024390243902439025
2406,{9FA6E4DA-34D0-4D8D-86BA-94487857ED06},2020-03-26,"While pruning Apple tree, The large Asian Hornet Flew out of woods From the west, flew towards house and turned around. It was such an aniamated looking hornet. It turned around and flew back into the woods.  Heading back west.  Did not get a picture.",Unverified,Thanks for the submission. Feel free to resubmit a sighting if you get a photo.,2020-08-04,48.490758,-122.061753,0.15814419834108104,0.0
15,{4F753C6C-B49B-4C2D-AD30-8CDAF540DE9F},2020-03-27,Digging garden area and uncovered a bee,Unverified,Hopefully it is just a bee!,2020-03-28,47.936452,-122.137477,0.24641289156260443,0.024390243902439025
299,{7D2AD9C6-7D05-49F6-A20B-0FE81C18CA03},2020-03-29, ,Unverified, ,2020-05-04,46.631711,-123.95339,0.5130115759730198,0.024390243902439025
