num,raw,processed,status,,,,,,,,,,,,,,,,,,,,,,,,
-1,"Asian giant hornet workers can grow to 1.5 inches in length and are     similar in size to other wasps that occur in Pennsylvania and may be confused with     Asian giant hornets. Asian giant hornets are strikingly colored, with yellow heads, a     black thorax, and yellow and black or brown striped abdomens.","['Asian', 'giant', 'hornet', 'worker', 'grow', 'inch', 'length', 'similar', 'size', 'wasp', 'occur', 'Pennsylvania', 'may', 'confuse', 'Asian', 'giant', 'hornet', 'Asian', 'giant', 'hornet', 'strikingly', 'color', 'yellow', 'head', 'black', 'thorax', 'yellow', 'black', 'brown', 'strip', 'abdomen']",Official,,,,,,,,,,,,,,,,,,,,,,,,
0,"One dead wasp seen in Blaine, and suspect flying nearby","['One', 'dead', 'wasp', 'see', 'Blaine', 'suspect', 'fly', 'nearby']",Positive ID,,,,,,,,,,,,,,,,,,,,,,,,
1,Hornet specimen sent to WSU,"['Hornet', 'specimen', 'send', 'WSU']",Positive ID,,,,,,,,,,,,,,,,,,,,,,,,
2,"Massive loss of bees, decapitated. No hornet specimens were located.","['Massive', 'loss', 'bee', 'decapitate', 'hornet', 'specimen', 'locate']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
3,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae","['This', 'colony', 'find', 'destroyed', 'Nanaimo', 'Sep', '2019', 'There', '150', 'live', 'hornet', '600', 'unhatched', 'egg', 'larvae']",Positive ID,,,,,,,,,,,,,,,,,,,,,,,,
4,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down","['clean', 'gutter', 'hear', 'snap', 'noise', 'come', 'wall', 'house', 'sit', 'dirt', 'clump', 'look', 'start', 'nest', 'back', 'away', 'wait', 'till', 'even', 'spray', 'hornet', 'killer', 'Next', 'day', 'knock']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
5,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures","['find', 'dozen', 'bee', 'backfield', 'last', 'October', 'store', 'bee', 'box', 'Sorry', 'picture']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
6,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.","['sure', 'big', 'look', 'wasp', 'hornet', 'ever', 'see', 'least', 'inch', 'long', 'Sorry', 'poor', 'quality', 'picture', 'go', 'inside', 'get', 'glass', 'catch', 'fly', 'away']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
7,Reported to Washington Invasive Species Council via voicemail,"['Reported', 'Washington', 'Invasive', 'Species', 'Council', 'via', 'voicemail']",Unverified,,,,,,,,,,,,,,,,,,,,,,,,
8,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588","['slow', 'move', 'freezer', 'still', 'think', 'saw', '98588']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
9,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,"['land', 'window', 'work', 'walk', 'around', 'bounce', 'across', 'tried', 'fly', 'glass']",Negative ID,,,,,,,,,,,,,,,,,,,,,,,,
