Unnamed: 0,GlobalID,Detection Date,Notes,Lab Status,Submission Date,Latitude,Longitude,NLPScore,CVsim,distance,time
0,{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019/12/8,"One dead wasp seen in Blaine, and suspect flying nearby",Positive ID,2020/1/15,48.980994,-122.688503,0.335428719,1,0,0
1,{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019/10/30,Hornet specimen sent to WSU,Positive ID,2020/1/15,48.971949,-122.700941,0.498228201,1,0,0
2,{13B67BCB-AFCE-4100-AD2B-76EF178BA228},2020/1/15,"Massive loss of bees, decapitated. No hornet specimens were located.",Unverified,2020/1/15,48.9392,-122.6613,0.509134791,1.18E-05,0.003765918,0.002642008
3,{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019/9/19,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",Positive ID,2020/2/4,49.149394,-123.943134,0.348446557,1,0,0
4,{BBBA5BA0-CAFB-43D3-8F1D-FB2D9CF777E0},2019/8/31,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",Unverified,2020/2/14,48.723779,-122.354431,0.356650631,0.73804527,0.015723017,0.001321004
5,{EB4746A1-5A8B-4D7D-9149-D560988238EC},2019/10/15,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",Unverified,2020/2/27,48.986176,-122.69745,0.32233255,0.5,0.001800282,0.001042898
6,{C4F44511-EA53-4FCF-9422-E1C57703720D},2020/2/29,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",Negative ID,2020/2/29,48.729596,-122.480035,0.329197461,0.180351425,0.014422928,0.005284016
7,{E6ADE6FB-0BD3-43EC-8E75-72EFC6F029FB},2020/3/1,Reported to Washington Invasive Species Council via voicemail,Unverified,2020/3/2,48.186024,-122.34468,0.335932793,0.5,0.136412209,0.005214489
8,{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019/9/7,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",Negative ID,2020/3/18,47.395721,-123.105188,0.319690448,0.969429459,0.33461482,0.000834318
9,{81670D96-4143-47B1-A9C8-83977892D53F},2020/3/19,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,2020/3/19,47.840041,-122.323562,0.371981164,1,0.215953271,0.003963012
10,{0AF6F3AA-8565-4B8F-8BF5-8D43D9677FE2},2019/7/17, ,Unverified,2020/3/19,47.487496,-118.958142,0.329197461,0.5,0.607912561,0.004449698
11,{630D20B9-8DD9-41E0-84FE-7C4F87C412E6},2020/3/16,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,Unverified,2020/3/19,48.419995,-122.33213,0.388456794,0.5,0.083218103,0.004171591
12,{D30895B7-3994-45A3-BD51-E5BA881833FD},2019/8/30,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",Negative ID,2020/3/19,47.635058,-122.057332,0.331876555,0.949732948,0.268343348,0.00139053
13,{72E591F1-F42C-4754-94FF-DBDF791BBF2E},2020/3/20,It wasn't huge but definitely  had a yellow head and yellow mid section,Unverified,2020/3/21,48.93401,-122.48545,0.638131745,0.5,0.017732058,0.003893485
14,{1304CF55-4FF9-490F-AF5A-5719CD110A9D},2020/3/23,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",Negative ID,2020/3/24,48.74361,-122.43905,0.444062827,0.5,0.008389605,0.003684906
15,{4F753C6C-B49B-4C2D-AD30-8CDAF540DE9F},2020/3/27,Digging garden area and uncovered a bee,Unverified,2020/3/28,47.936452,-122.137477,0.36320635,0.5,0.198016589,0.0034068
16,{9610DC8B-98D0-4C39-8235-55CE16B16F57},2016/6/20,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",Unverified,2020/3/29,47.887101,-121.972109,0.434459876,0.5,0.21571971,0.082458458
17,{2BDDD0B5-3687-494E-BBAD-8FE8DC6F6542},2019/8/2,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,Unverified,2020/3/31,46.815183,-122.987709,0.35967661,0.5,0.459483313,0.003337273
18,{5AD8CAF4-AB96-4BFA-8A08-6010C96937F1},2020/3/31,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",Negative ID,2020/3/31,46.609918,-120.563107,0.286733301,0.990652963,0.574918409,0.003128694
19,{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019/7/23,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,Negative ID,2020/4/1,48.006763,-122.462053,0.286733301,1,0.17727097,0.004032538
20,{EAC16248-52B7-4B86-8BA3-0913E2EE3A3A},2018/7/1,"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.",Unverified,2020/4/3,47.665711,-122.326871,0.440343567,0.5,0.255917059,0.030939303
21,{825396BC-07DE-45EA-8EC4-1311B30C10B8},2016/8/25,"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s",Unverified,2020/4/4,48.857859,-121.844931,0.439348944,0.5,0.088757433,0.077869707
