,0,1,Lab Status
6,42.155666,-26.204235,Negative
8,-67.04473,-11.420047,Negative
9,-53.047276,-20.444748,Negative
12,-48.49012,-14.550549,Negative
14,-2.8465846,70.15317,Negative
18,-73.61183,14.349153,Negative
19,-55.608604,-23.861265,Negative
27,28.777695,35.962234,Negative
29,-15.269443,-51.89391,Negative
30,-51.476337,-6.230644,Negative
41,-65.62417,25.680109,Negative
48,-7.853543,-72.929955,Negative
49,11.575244,-14.066515,Negative
51,10.491483,-85.19326,Negative
58,-20.327396,60.436428,Negative
61,50.86807,9.911567,Negative
63,10.70748,-86.94348,Negative
74,12.181215,-61.87747,Negative
81,-47.168854,-19.5536,Negative
83,22.886179,-51.752415,Negative
87,-16.796434,72.37191,Negative
89,25.11184,-58.51361,Negative
93,-4.3136435,-30.428095,Negative
95,-3.9702039,-30.427933,Negative
99,-43.582115,-29.272646,Negative
100,-47.2035,-34.929222,Negative
103,55.39317,16.152021,Negative
106,-40.64698,-14.154739,Negative
108,-49.004173,-31.332808,Negative
112,-72.386024,10.945285,Negative
113,-33.48878,66.89523,Negative
114,51.622753,-30.279305,Negative
116,-65.015305,-3.04417,Negative
120,-1.6231236,-56.043076,Negative
121,-49.7953,-25.890215,Negative
124,-3.3164573,70.41712,Negative
125,18.230265,-30.805893,Negative
129,-49.60815,-30.445988,Negative
131,-4.9190154,69.593605,Negative
133,51.902115,-30.661406,Negative
136,-55.886444,-4.727972,Negative
137,-7.4404798,-74.99063,Negative
138,32.864025,-33.7132,Negative
139,29.482159,52.19489,Negative
144,-27.644745,45.938362,Negative
147,-11.325001,-70.97456,Negative
148,-57.89216,-15.484744,Negative
149,24.440908,-34.695236,Negative
152,-0.96209687,-57.913246,Negative
154,8.239783,-87.85295,Negative
157,44.384678,-28.66286,Negative
158,-15.204725,-60.928993,Negative
166,-8.353745,-72.37073,Negative
168,12.906771,-11.685189,Negative
172,-10.335247,-68.137825,Negative
181,-12.011334,-62.857162,Negative
182,13.873482,-11.780422,Negative
188,-43.67792,-29.030874,Negative
196,17.549465,0.16733278,Negative
197,-55.13798,-16.089231,Negative
202,3.268204,-39.40954,Negative
205,-60.821487,26.761902,Negative
210,-62.572014,21.874002,Negative
219,-38.649254,-14.990388,Negative
238,70.40665,18.611782,Negative
240,-45.493053,-16.508907,Negative
242,71.79355,-3.386842,Negative
247,10.21502,32.833187,Negative
255,10.599841,-29.050795,Negative
258,16.658598,-53.614056,Negative
259,-1.9537095,-85.50582,Negative
260,-11.983383,-73.89562,Negative
262,8.250861,-16.578547,Negative
265,-62.7496,30.279951,Negative
267,-11.791114,-71.48599,Negative
274,-52.99586,-5.0290465,Negative
276,28.441608,-37.633595,Negative
277,72.12695,12.761378,Negative
283,-64.405075,30.815924,Negative
286,26.299297,-59.185608,Negative
289,68.298805,7.3657413,Negative
290,-56.883465,-14.229512,Negative
308,23.99438,44.91006,Negative
313,7.1692085,-85.815125,Negative
316,-12.066551,-64.10236,Negative
319,71.79902,-3.6050339,Negative
321,0.26424387,-83.60633,Negative
322,-37.508827,-23.790462,Negative
331,5.691577,-36.016586,Negative
354,-24.435276,47.88593,Negative
409,28.47825,49.442802,Negative
699,-14.531481,-47.026974,Negative
701,38.46307,-25.199184,Negative
702,-1.5287083,-90.1432,Negative
703,-19.905327,-62.549866,Negative
704,15.319632,-26.794214,Negative
705,-11.984106,-63.308537,Negative
708,-20.848598,7.6655135,Negative
709,6.824671,-87.15654,Negative
711,9.043925,-24.36488,Negative
714,47.496044,-38.206783,Negative
718,13.176576,-53.31032,Negative
720,28.791235,-37.62353,Negative
722,-68.01916,-9.070391,Negative
723,14.431094,-17.253084,Negative
725,-64.18513,-1.1777151,Negative
728,-26.90374,71.675095,Negative
729,-12.449493,-78.15797,Negative
734,8.39359,-59.864296,Negative
736,-41.23301,-15.554697,Negative
737,-60.978287,25.878078,Negative
738,18.393782,3.2804806,Negative
739,10.688228,-41.029835,Negative
741,-54.132996,-5.680606,Negative
743,7.249629,-45.769955,Negative
744,0.53126377,-57.351994,Negative
747,-1.6928724,-35.03187,Negative
748,10.568456,-56.38654,Negative
750,3.3783777,-88.13501,Negative
754,21.558834,-6.6422772,Negative
755,19.894558,-51.13794,Negative
758,10.952458,19.178482,Negative
759,-67.51126,-5.1375527,Negative
762,-17.455036,-59.953945,Negative
763,1.21065,-1.2156678,Negative
764,-38.730625,-25.681011,Negative
765,24.110823,-37.854057,Negative
767,-50.83636,-21.816984,Negative
768,9.975635,-40.35875,Negative
769,-76.20555,-1.43096,Negative
770,-11.3981695,70.0533,Negative
773,-17.564219,-50.35175,Negative
775,-65.96739,24.791393,Negative
776,-58.75059,-19.038044,Negative
781,-6.0649214,-58.683365,Negative
785,-14.651451,-65.73826,Negative
786,14.470357,-11.825406,Negative
787,47.502304,2.616586,Negative
791,6.801311,1.3847715,Negative
