raw,cluster,s
"Asian giant hornet workers can grow to 1.5 inches in length and are     similar in size to other wasps that occur in Pennsylvania and may be confused with     Asian giant hornets. Asian giant hornets are strikingly colored, with yellow heads, a     black thorax, and yellow and black or brown striped abdomens.",[1],Official
"One dead wasp seen in Blaine, and suspect flying nearby",[0],Positive ID
Hornet specimen sent to WSU,[0],Positive ID
"Massive loss of bees, decapitated. No hornet specimens were located.",[0],Unverified
"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",[0],Positive ID
"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",[0],Unverified
"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",[0],Unverified
"I'm not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",[1],Negative ID
Reported to Washington Invasive Species Council via voicemail,[0],Unverified
"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",[0],Negative ID
It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,[1],Negative ID
An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,[1],Unverified
"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",[0],Negative ID
It wasn't huge but definitely  had a yellow head and yellow mid section,[1],Unverified
"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",[1],Negative ID
Digging garden area and uncovered a bee,[0],Unverified
"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",[0],Unverified
These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,[0],Unverified
"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",[0],Negative ID
not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,[0],Negative ID
"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.",[1],Unverified
"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s",[0],Unverified
"Observed flying around my porch. Hovered in place like a humming bird while facing me. I tried, but was unable to snap a photo.",[1],Unverified
"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop",[1],Unverified
"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn",[0],Unverified
It stung me through a paper towel,[1],Unverified
We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try,[1],Negative ID
Not sure but this this was huge and never seen it before around my pond,[1],Unverified
"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm",[0],Negative ID
"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",[1],Negative ID
"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit�? I was jok",[1],Unverified
Orondo State Park - near the apple orchards.,[0],Unverified
I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,[0],Unverified
It was a very large orange hornet about 2 inches. We were sitting down grilling under a tree near John Day dam when a large orange hornet fell onto the ground trying to fly bit it couldn't. I killed it in fear for my young children running around. It was,[1],Unverified
"2 of these things were landing in front of my house, and went into burrows into loose dirt in front of the house.  They were about 1.5 to 2�?long with orange/yellow heads.  I squashed them both, and flattened out the mount of dirt next to burrow.  I ju",[1],Unverified
"Last summer, my grandson & friend said they saw a bee that was a good 2 inches long, in our back yard. We teased them bigtime, but now I'm thinking maybe he did. Yesterday there was a big fat bee out back, but it was about one inch",[1],Unverified
"4/07/20. We prefer not to risk going close to eat, but my husband thought it was a mouse and put a trap at first, until he saw it was a big giant bee today and left immediately. We were advised to call you.",[1],Unverified
I am not sure if this is this particular hornet but it is the biggest thing we have ever seen.   It was at our cabin in Eatonville last September.   I kept a picture because I wanted to try and find out what it was and have been unsuccessful.  It was abo,[0],Unverified
"I don’t remember exact date but I definitely saw this hornet around late summer/early autumn. I didn’t get a photo of it unfortunately, but I am absolutely certain this is what I saw. I didn’t kill it because I unfortunately didn’t know at the ti",[1],Unverified
I've seen two in Ephrata between 2017-2018,[0],Unverified
"was in my house in Spokane, WA",[0],Negative ID
It was a big long  wasp with golden yellow stripes. They would stick a barb from inside there abdomen into this one tree and get stuck and die. I saw about 4 get stuck in the same tree.,[1],Unverified
We were able to kill one of them and later saw at least 2 more that same day.,[1],Unverified
"I was in my back yard in Snohomish. A very large insect flew past me, at a distance of about 7 feet. Since it was in the air and moving rapidly I was unable to take a photo. It may not have been one of these wasps, but the size startled me.",[1],Unverified
"Interesting that this comes up now.  About 5 years ago, I was talking to someone on the West side of Holland Library in Pullman.  I believe I saw one of these wasps getting nectar out of vine maple blossoms.  It was VERY large and was bright orange with",[0],Unverified
"100% caught one in my house last week, Everett, WA. I was shocked at the size, bigest wasp I had ever seen. Threw it outside alive.",[1],Unverified
"The following is a copy of an email that I sent to Dr. Chris Looney (CLooney@agr.wa.gov) on December 21 at 1:45 PM    Hello Dr. Looney,  I saw the article on KOMO about the Asian giant hornet that was found in Blaine. This reminded me of a similar sighti",[0],Unverified
"We weren’t sure what these were, but they are huge and we had never seen anything like them. We saw them in Crescent Bar by the swimming pools.",[0],Negative ID
"Hello! This 'wasp' type insect bit my husband and I last Sept.  I grew up in the PNW, am a longtime gardener and have never seen anything like this.  I don't know if this is the hornet that you are referring to but it looks very familiar.  It was huge an",[1],Negative ID
We were at flower world shopping for fruit trees and there was a hornet about three inches large up in the rafters of the far east building next to the fruit trees.  I did not take a photo as I don't usually carry phone with me but there were others ther,[1],Unverified
"This is the cicada killer, either Sphecius grandis or Sphecius convallis.",[0],Negative ID
I spotted two hornets on my patio umbrella. I was not able to get a picture of them,[1],Unverified
Yes I saw a large bee looking bug flying around my Japanese maple yesterday Thought it was a large wasp,[1],Unverified
I didn’t capture a picture but it was absolutely massive. I’ve never seen a bee that large in WA and I’ve lived here for 29 years!,[1],Unverified
Was driving by soap lake and got hit in the head by one.,[1],Unverified
Biggest hornet we have ever seen. Saw two of them,[1],Unverified
