,raw,cluster,s,pol,sub
0,"Asian giant hornet workers can grow to 1.5 inches in length and are     similar in size to other wasps that occur in Pennsylvania and may be confused with     Asian giant hornets. Asian giant hornets are strikingly colored, with yellow heads, a     black thorax, and yellow and black or brown striped abdomens.",[1],Official,-0.025595238095238095,0.4529761904761905
1,"One dead wasp seen in Blaine, and suspect flying nearby",[0],Positive ID,-0.2,0.4
2,Hornet specimen sent to WSU,[0],Positive ID,0.0,0.0
3,"Massive loss of bees, decapitated. No hornet specimens were located.",[0],Unverified,0.0,1.0
4,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",[0],Positive ID,0.13636363636363635,0.5
5,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",[0],Unverified,-0.051851851851851864,0.12962962962962965
6,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",[0],Unverified,-0.25,0.5333333333333333
7,"I'm not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",[1],Negative ID,-0.3,0.6577777777777778
8,Reported to Washington Invasive Species Council via voicemail,[0],Unverified,0.0,0.0
9,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",[0],Negative ID,-0.30000000000000004,0.39999999999999997
10,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,[1],Negative ID,0.8,0.9
11,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,[1],Unverified,0.06666666666666667,0.6166666666666667
12,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",[0],Negative ID,-0.16967592592592592,0.5460648148148147
13,It wasn't huge but definitely  had a yellow head and yellow mid section,[1],Unverified,0.08000000000000002,0.27999999999999997
14,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",[1],Negative ID,-0.18333333333333335,0.5416666666666666
15,Digging garden area and uncovered a bee,[0],Unverified,0.0,0.0
